State,County,Inc_Muni,Uninc_Comm,Nbrhd_Comm,Post_Comm,Zip_Code,Plus_4,Bulk_Zip,Bulk_Plus4,StN_PreMod,StN_PreDir,StN_PreTyp,StN_PreSep,StreetName,StN_PosTyp,StN_PosDir,StN_PosMod,AddNum_Pre,Add_Number,AddNum_Suf,LandmkPart,LandmkName,Building,Floor,Unit,Room,Addtl_Loc,Milepost,Longitude,Latitude,NatGrid_Co,GUID,Addr_Type,Placement,Source,AddAuth,UniqWithin,LastUpdate,Effective,Expired,STATEFP10,PUMACE10,GEOID10,geometry
OH,Franklin,COLUMBUS,,,COLUMBUS,43206,,,,,,,,WILSON,Avenue,,,,1005,,,,,,,,MFRAMR12325**C,2.12314688,-82.967993795,39.9449791315,17SLE3187223504,{B6C121F4-DB34-492E-A8B9-81F90A291CEB},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9235954.8214 4857950.0151999965 0)
OH,Franklin,WHITEHALL,,,COLUMBUS,43213,,,,,,,,PARKLAWN,Boulevard,,,,216,,,,,,,,PFRAPR82912**C,0.22484866,-82.8822890911,39.9795786543,17SLE3927527187,{98D3DD59-9E29-4161-AEEA-FCF08A41ACC0},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9226414.2174 4862975.148800001 0)
OH,Franklin,COLUMBUS,,SINKS & HARDY AMD PLAT OF JP BLISS SUB,COLUMBUS,43219,,,,,,,,BLISS,Street,,,,1426,,,,,,,,MFRAMR01303**C,0.1092168,-82.9659777707,39.9828914884,17SLE3213727709,{16BE6A15-314B-45E6-9CA2-E0D4BB19BF6D},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9235730.3986 4863456.428599998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43207,,,,,,,,FAIRWOOD,Avenue,,,,1716,,,,,,,,CFRACR00512**C,1.83876836,-82.9548726462,39.9314090239,17SLE3296021973,{04204116-0FF0-4626-B685-1EC4B2FC9E59},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9234494.1818 4855979.826300003 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43227,,,,,,,,FULTON,Street,,,,3258,,,,,,,,MFRAMR03891**C,0.00804918,-82.9105516117,39.9530509504,17SLE3679824294,{E7CBB810-6F1D-426A-926A-74E261A8CD63},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9229560.3868 4859122.115199998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43203,,,,,,,,PEMBROKE,Avenue,,,,1612,,,,,,,,MFRAMR08847**C,0.01768171,-82.9595896746,39.9760768865,17SLE3266526940,{0EC094C6-E2C5-4C1C-9341-64B49EF0FADC},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9235019.279 4862466.446599998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43207,,,,,,,,ALUM CREEK,Drive,,,,2394,,,,,,,,,0,-82.9310522525,39.918742908,17SLE3496520523,{7C559AD5-EF21-484B-882F-9D92ACAE6C5E},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9231842.5077 4854141.236699998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43205,,,,,,,,RICH,Street,,,,1588,,,,,,,,MFRAMR03950**C,0.85639364,-82.9570448588,39.9589714023,17SLE3284125037,{1C74AF12-FA8E-4B4F-8FBE-BC85F292419D},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9234735.9914 4859981.905500002 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43227,,,,,,,,CONOVER,Place,,,,4243,,,,,,,,MFRAMR02925**C,0.01466239,-82.8819823452,39.943100055,17SLE3921623137,{C1F8ACD9-DC9D-442B-955E-DD60B81D2DBA},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9226380.0706 4857677.176399998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43206,,,,,,,,FAIRGATE,Place,,,,1620,,,,,,,,MFRAMR04349**C,0.01420146,-82.9519941961,39.9378713941,17SLE3322122685,{DFCCFA30-B21B-43DD-87C2-9F0CABE15635},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9234173.7542 4856918.0229 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43209,,,,,,,,ROOSEVELT,Avenue,,,,1450,,,,,,,,MFRAMR09876**C,0.3026063,-82.9262632196,39.940089761,17SLE3542522884,{DE06BF87-735B-46AE-8FBF-85BDB276FBEC},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9231309.395 4857240.102300003 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43205,,,,,,,,OAK,Street,,,,940,,,,,,,,,0,-82.9754868072,39.9631661156,17SLE3127625537,{2ECE05E5-A500-401F-BC34-58C3E457B4D6},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9236788.9397 4860591.122599997 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43227,,,,,,,,VILARDO,Lane,,,,1529,,,,,,,,MFRAMR11671**C,0.2551484,-82.8915919013,39.9420910822,17SLE3839223042,{BA056CB9-F236-4D60-B537-EFD9E6AD81C4},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9227449.8015 4857530.678300001 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43205,,,,,,,,FRANKLIN,Park,South,,,1623,,,,,,2,,,0,-82.9568249926,39.9631551488,17SLE3287025501,{C97B766D-0EF1-4FC4-977C-58150867639A},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9234711.516 4860589.529799998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43207,,,,,,,,SHELDON,Avenue,,,,670,,,,,,,,,0,-82.9779174274,39.9337661207,17SLE3099622278,{4985C702-957A-4AAA-AFEF-B2A1818E91B6},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9237059.5151 4856322.015600003 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43206,,,,,,,,KOSSUTH,Street,,,,708,,,,,,,,MFRAMR03910**C,1.04628775,-82.9781572236,39.945816612,17SLE3100523616,{269513A1-66BE-4A37-9892-DC04677DC2B9},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9237086.2091 4858071.6184 0)
OH,Franklin,BEXLEY,,BEXLEY DR NO 3,COLUMBUS,43209,,,,,,,,SHERIDAN,Avenue,,,,850,,,,,,,,MFRAMR10359**C,0.21672326,-82.939569522,39.9512036567,17SLE3431524142,{F3A2DC81-7938-4E1E-8151-4A601FFBC431},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9232790.6458 4858853.859499998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43206,,,,,,,,WILSON,Avenue,,,,1268,,,,,,,,MFRAMR12325**C,1.74024088,-82.9679102508,39.9394333558,17SLE3186522889,{4D99B601-752B-4B32-BFBF-0510DC4F9B39},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9235945.5213 4857144.7993 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43206,,,,,,,,18TH,Street,,,,894,,,,,,,,MFRAMR09790**C,1.20956352,-82.9777484686,39.9460214221,17SLE3104123638,{6CC871F0-EF74-4072-8D7E-E95B3CAFBCEA},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9237040.7067 4858101.357299998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43213,,,,,,,,HAMPTON,Road,,,,34,,,,,,D,,,0,-82.9092510389,39.9732737209,17SLE3695826536,{FFB23C9E-05C5-4C3F-BE99-1E72B927E5EE},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9229415.6077 4862059.249200001 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43209,,,,,,,,GOULD,Road,,,,305,,,,,,18,,,0,-82.9233522658,39.9774932387,17SLE3576327030,{CDEB320D-DFCD-4868-9A34-3AF68B755004},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9230985.3491 4862672.197099999 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43209,,,,,,,,KENWICK,Road,,,,1208,,,,,,,,MFRAMR06361**C,0.94540571,-82.922630606,39.9456125162,17SLE3574923490,{E0295F66-40D5-4E4B-A729-FA9B839E0EBE},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9230905.0143 4858041.9833 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43205,,,,,,,,OHIO,Avenue,,,,437,,,,,,,,CFRACR00529**C,1.41624771,-82.9711527575,39.9564002352,17SLE3163024778,{4F7BAFCD-E943-4F55-AC53-BFD8EC7EB8CC},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9236306.4755 4859608.501800001 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43227,,,,,,,,VILARDO,Lane,,,,1502,,,,,,,,MFRAMR11671**C,0.2975357,-82.8910539219,39.9428230992,17SLE3844023123,{4BB25221-B303-4276-9D15-0FD5A7D93BBD},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9227389.9139 4857636.963500001 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43213,,,,,,,,MAYFAIR,Boulevard,,,,198,,,,,,,,MFRAMR07415**C,0.36103815,-82.9105934417,39.9679790907,17SLE3683025951,{85D0688A-5BA1-4A0A-88DF-0A18C907000D},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9229565.0433 4861290.1787 0)
OH,Franklin,WHITEHALL,,LOWRIE BROS EAST BROAD ST ALLOTMENT,COLUMBUS,43213,,,,,,,,MAPLEWOOD,Avenue,,,,703,,,,,,,,MFRAMR07258**C,0.12735614,-82.9038416025,39.9581082187,17SLE3738424843,{A2BE99CD-6DAE-4784-8C23-DA577F398E78},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9228813.432 4859856.546099998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43209,,,,,,,,BERWICK,Boulevard,,,,2338,,,,,,,,MFRAMR01137**C,0.16969565,-82.934379871,39.9468845509,17SLE3474823653,{FB2D0CF0-FB50-4055-958E-E72E4F0FB239},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9232212.9365 4858226.6866 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43205,,,,,,,,LIVINGSTON,Avenue,,,,1233,,,,,,C,,,0,-82.9647830958,39.9491316569,17SLE3215623959,{62A70152-C133-49FA-9499-A119025A7FF2},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9235597.408 4858552.981600001 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43207,,,,,,,,WINSLOW,Drive,,,,2097,,,,,,3,,,0,-82.9396023338,39.9243092337,17SLE3424721157,{6BAFA921-6232-41D6-AFC9-E6977FD248DE},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9232794.2984 4854949.192199998 0)
OH,Franklin,COLUMBUS,,,COLUMBUS,43206,,,,,,,,THURMAN,Avenue,,,,742,,,,,,,,CFRACR00561**C,1.07730526,-82.9760249582,39.9391324706,17SLE3117122870,{C65E3EA6-1532-4FCA-8479-C93099EC9798},Residential,Unknown,OHIO LOCATION BASED RESPONSE SYSTEM,COUNTY,,2016-06-22,,,39,04107,3904107,POINT Z (-9236848.8464 4857101.114299998 0)
