,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
50,350560,207882,194918,267602,246310,267549,431491,276261,3048,300356,421027,424466,371297,259377,380001,368569,161543,322247,193023,339125
51,367128,237984,433803,319057,210639,385275,419850,213368,377538,207999,324256,369865,206085,279149,438625,225110,360075,286777,136669,387733
52,45593,36683,64323,77445,78652,45110,8215,42025,73928,7838,5933,5317,53784,5480,53865,53817,36719,5812,60452,32038
53,45543,5423,11403,45419,21249,8250,5544,41794,8254,64257,58393,7761,45347,64134,41790,60406,45011,50719,8207,36485
54,49354,60153,23829,3261,55786,16122,20238,58080,13362,33803,43388,43239,4411,14118,7721,41597,3265,27615,47157,47277
55,36886,93324,89152,97701,23080,87617,90859,75166,119210,58808,53917,84980,97583,88861,88860,88541,79321,51112,27880,89133
56,40974,53603,53685,66907,61295,104666,42158,59637,97840,119585,28112,48525,51131,65726,8624,97841,54015,51295,88468,8379
57,512409,512408,512339,512308,512281,512294,512415,512474,512318,512365,512315,512434,512469,512309,512425,512456,512299,512312,512377,512450
58,34883,96301,61611,92118,61795,95631,92200,37267,88454,119388,34989,58776,88339,22924,6003,28119,93172,58801,36913,89764
59,43735,14036,14390,40683,58383,90620,43618,16115,47176,40188,53229,55844,40658,41330,44636,20233,3483,20808,49666,20029
60,154049,249337,183696,148809,233607,436354,234971,287361,273526,396413,404857,357431,313713,260402,381946,388029,316382,261662,414274,173161
61,508979,508940,509167,509012,508978,509142,509150,508922,508929,508923,508941,509000,509119,509019,508964,509059,509135,508977,508963,509018
62,40513,11285,60497,14398,69333,49663,23567,13864,60615,24038,20536,55876,44002,10725,100085,5367,61307,49752,60598,17887
63,69282,60222,60219,20927,11209,57892,47388,49654,11096,50155,50518,101412,40108,40096,7323,60250,47178,5011,66837,69334
64,318903,140997,424966,173992,245149,372564,155354,429872,355868,179711,433301,300702,108809,155620,323763,171730,311439,359610,343155,237159
65,438137,368244,233009,396239,403857,136790,210827,375084,184381,429538,350201,429539,209005,342026,152391,211178,345955,366609,431182,171933
66,5637,81061,101495,45634,36636,32222,5295,103634,103167,56230,48122,7924,4878,12791,14475,42059,87230,8224,79151,67066
67,177674,148925,139066,309852,231974,309846,192972,416968,357237,309847,260134,196082,270439,251636,425260,184955,280890,262992,237370,194759
