method,eps,k,edd
random,,10,43.88582553571073
gm,0.1,10,18.863580469408273
gm,0.01,10,26.96121594251074
gm,0.001,10,41.12635560596364
gm,0.0001,10,43.62456836438404
random,,20,62.1246197554136
gm,0.1,20,19.411952703583697
gm,0.01,20,34.06705612220797
gm,0.001,20,51.812218869608856
gm,0.0001,20,61.12443555839775
random,,30,76.6924851540253
gm,0.1,30,19.534956963771965
gm,0.01,30,42.49507453171577
gm,0.001,30,55.82398522218376
gm,0.0001,30,74.38384392099407
