eps,k,runtime
0.1,10,22.930996894836426
0.1,20,278.14400029182434
0.1,30,876.4079852104187
0.01,10,25.842989921569824
0.01,20,310.25399947166443
0.01,30,1201.2789890766144
0.001,10,34.65198349952698
0.001,20,500.9800007343292
0.001,30,1348.0659999847412
0.0001,10,34.13999557495117
0.0001,20,561.5909905433655
0.0001,30,1509.7889890670776
