eps,k,sql
0.1,10,18.962873600429347
0.1,20,18.54067969349233
0.1,30,18.54902035713766
0.01,10,37.75492756327906
0.01,20,51.4361141718826
0.01,30,61.05405720883038
0.001,10,48.48168258154973
0.001,20,66.84769058343765
0.001,30,79.23353943675502
0.0001,10,51.24746276481061
0.0001,20,74.47623725884957
0.0001,30,91.71609803724887
